x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
3.0,1.5,-72.80970774,-76.49558518,-77.61261277,-74.120603,-65.40695585,-48.65336758,-68.58147122,-72.86947443,-71.05497251,-70.60601918,-81.71637276,-73.27564101,-67.95708174,-52.66499298,-68.25992397,-67.4538423
4.5,1.5,-72.2229585,-72.48125723,-76.49149882,-69.58212562,-64.70442,-53.31611351,-71.4242743,-68.35505313,-78.69916703,-73.12462179,-76.19758389,-71.40993377,-64.55046653,-56.90558134,-64.25219571,-77.08029847
4.5,3.0,-70.54008342,-74.47770988,-76.55487555,-67.2162688,-65.7672489,-52.27903924,-60.08374563,-67.06513532,-71.23024699,-72.58833586,-80.66883098,-67.12854094,-65.23294956,-59.21042579,-65.74161051,-71.18117844
4.5,4.5,-74.70073355,-79.20931824,-74.80221706,-66.26046267,-72.48854591,-53.00452313,-68.24371485,-72.60293163,-74.21665808,-75.7861235,-75.94165751,-65.13178628,-72.43789029,-55.05083889,-60.6539955,-75.08712929
4.5,6.0,-100.0,-74.5095845,-73.42459787,-65.81840116,-66.39045135,-60.34509745,-62.32049556,-69.70856103,-71.67238876,-71.17965467,-73.4719593,-72.3622139,-66.21801596,-57.16327272,-63.90027246,-63.92935571
4.5,7.5,-72.81248389,-65.58539186,-71.55437288,-66.47281197,-65.54391568,-57.05504613,-59.62166616,-69.58205544,-68.26650406,-67.55808659,-70.85418648,-66.45980576,-64.93365763,-57.32594533,-60.8914222,-70.72953565
4.5,9.0,-70.62258015,-65.61395797,-74.7559628,-64.97251524,-65.70102304,-58.881478,-63.34861923,-72.95455043,-68.49844523,-63.71681962,-71.36132209,-63.16829349,-66.24574349,-56.12194794,-62.32492784,-70.26523036
4.5,10.5,-73.0965353,-72.97348492,-74.66438903,-59.88319276,-66.73410203,-58.29737206,-66.11036897,-72.49215465,-72.1543232,-70.23681111,-70.86459348,-57.45979873,-68.90750453,-59.02636137,-66.50978926,-70.63072945
4.5,12.0,-72.30404183,-73.80610945,-84.80057603,-60.31231876,-66.3682508,-65.58342431,-68.31663626,-67.12753248,-73.11357751,-72.99502396,-77.88996951,-62.68431755,-70.68120381,-60.78049123,-70.83743312,-64.68201499
4.5,13.5,-66.12405136,-68.79918419,-74.18597618,-52.57762544,-68.33499146,-62.38071799,-64.33486533,-73.21590284,-71.01977347,-69.3379945,-77.42836637,-58.45934928,-70.442221,-61.74111831,-70.1984943,-71.91326128
4.5,15.0,-71.31640013,-66.12135262,-67.96341903,-49.17979531,-72.25761704,-58.85775703,-61.38408141,-67.26496117,-71.13322543,-72.15765497,-67.0427184,-56.05291458,-79.71406715,-63.40383028,-66.9627356,-64.70723701
4.5,16.5,-66.58481315,-69.4451554,-84.48185834,-59.17010195,-71.98656845,-60.38299006,-61.66144911,-71.38420046,-67.57154907,-67.41076147,-64.24719611,-55.92611072,-75.66936978,-65.53054975,-68.77565653,-65.74369552
4.5,18.0,-61.74981755,-70.22413541,-66.86344623,-65.9658989,-68.31851616,-64.47676482,-65.90891865,-76.11154284,-63.79149885,-70.58377394,-68.93470178,-60.67811949,-76.24306339,-73.8500081,-68.66444009,-68.24467917
4.5,19.5,-64.42785883,-65.418315,-73.85832049,-74.9812309,-65.61957424,-58.97988414,-62.3668292,-67.15195969,-68.33384945,-61.61010867,-68.25809584,-64.84027915,-70.91638146,-65.97300202,-66.4134341,-68.29157951
4.5,21.0,-65.21939322,-60.47842393,-76.08704289,-61.01470278,-70.80258906,-60.34919509,-59.65064217,-69.5676803,-67.95878498,-56.75100258,-72.15745785,-66.53055824,-63.63767671,-65.77176384,-63.40531657,-68.55695764
4.5,22.5,-65.47637079,-61.51835337,-67.00082417,-66.74699762,-66.13293427,-64.21070452,-62.36292451,-72.39421116,-69.27731197,-58.5351867,-69.8221721,-65.60770481,-68.30101999,-61.69159271,-65.22487118,-70.13357718
4.5,24.0,-64.16562173,-61.61635593,-72.06934069,-63.52183456,-68.89801718,-64.19330622,-80.49697272,-76.85714469,-64.10564772,-57.94733239,-69.61781347,-61.42129369,-75.58897943,-64.95859814,-76.54766671,-73.82858301
4.5,25.5,-62.73284791,-57.66771962,-75.09756441,-62.57238778,-69.55339723,-65.68356923,-100.0,-75.5924051,-69.45383913,-57.36632534,-69.44743284,-67.59410228,-65.42173159,-63.75531875,-72.02370559,-73.82336152
4.5,27.0,-65.82118194,-60.66353568,-71.92990998,-65.32904722,-67.90751457,-67.5083348,-71.26212346,-81.82704388,-65.20434683,-58.09367883,-71.19853036,-65.89643519,-65.34057613,-64.62536634,-70.14281194,-73.98621875
6.0,27.0,-65.31450798,-65.00921639,-72.27002349,-66.00651553,-71.8331451,-65.92196682,-65.98080103,-69.20674822,-62.15229773,-58.43825428,-69.86994374,-64.78464958,-70.59607356,-69.47388816,-66.79977057,-73.5428408
6.0,25.5,-67.41130936,-59.4933848,-70.22698199,-65.96292872,-77.83937898,-62.09687276,-61.87192423,-75.89223384,-67.5985481,-56.9121586,-70.6259747,-70.36504173,-72.70323281,-66.46824281,-64.19112279,-71.43354028
6.0,24.0,-61.58856516,-59.06953397,-98.21083294,-62.46184366,-66.88905631,-59.52627372,-66.86669963,-74.11321366,-66.23585001,-56.9262688,-71.31830883,-67.38083602,-68.55348064,-60.412723,-65.98924437,-73.6707403
