x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
6.0,27.0,-62.15229773,-58.43825428,-69.86994374,-64.78464958,-70.59607356,-69.47388816,-66.79977057,-73.5428408,-63.63029337,-59.25097047,-71.23547738,-64.5004056,-72.21714174,-69.51258724,-70.36292934,-77.78910693
6.0,25.5,-67.5985481,-56.9121586,-70.6259747,-70.36504173,-72.70323281,-66.46824281,-64.19112279,-71.43354028,-66.54498427,-53.74274308,-68.76129429,-63.75869457,-71.94127552,-63.52168324,-67.11007196,-80.79376818
6.0,24.0,-66.23585001,-56.9262688,-71.31830883,-67.38083602,-68.55348064,-60.412723,-65.98924437,-73.6707403,-63.99550142,-58.58194278,-69.45529743,-62.22943915,-66.3363765,-62.33895524,-69.22596742,-74.86788072
6.0,22.5,-63.51781986,-56.63098082,-78.73299611,-64.06120946,-64.93368527,-63.48350907,-66.22998781,-67.20158307,-64.1121439,-58.00098251,-76.91478504,-67.66384358,-70.82435118,-61.99710561,-72.36495987,-71.61893828
6.0,21.0,-73.19180847,-61.58382433,-70.84823543,-62.82395587,-66.59760191,-69.88096335,-73.82379322,-76.05889009,-72.41912491,-62.3786496,-72.78100016,-59.55605091,-66.18318494,-66.91280904,-73.45470866,-72.55090437
6.0,19.5,-63.95239027,-66.46726167,-68.18741877,-64.12111174,-68.01683382,-65.9242367,-68.76726979,-65.42556645,-61.84856121,-69.35125317,-69.52652255,-64.73844279,-64.61529072,-66.27263627,-72.05030382,-68.96623138
6.0,18.0,-64.88341379,-66.50883895,-66.5195979,-57.95280321,-73.33386709,-68.48442144,-70.74986303,-67.05181093,-64.72002989,-65.24542013,-66.52652022,-66.17400326,-64.55695473,-66.7275573,-67.12013154,-70.15770827
6.0,16.5,-67.55234818,-66.97734153,-69.89970333,-59.14878569,-68.16320169,-63.11835222,-65.47746501,-73.67188923,-66.4881968,-62.33166398,-70.72804791,-63.94788604,-68.07656679,-63.51499212,-66.67336001,-76.01543345
6.0,15.0,-67.3715624,-65.47362515,-76.46514576,-60.63360608,-71.12242,-61.27127421,-70.43459081,-62.24821487,-67.59293687,-63.58092916,-74.79472838,-65.02418155,-73.49959356,-60.47465755,-65.83832812,-63.45113211
6.0,13.5,-69.29191566,-66.5148358,-82.13639131,-58.80487596,-75.38283094,-58.97177222,-61.28995919,-63.66371157,-67.94231876,-66.25101521,-78.02227042,-61.19705098,-71.3455344,-59.15005179,-59.54580039,-66.32512188
6.0,12.0,-74.53195814,-64.44749907,-70.27833639,-62.12161754,-71.15490397,-60.28739529,-61.6034257,-70.69711536,-67.89255409,-65.83895181,-71.90930503,-67.07209551,-71.91078539,-60.73665969,-60.70804863,-70.8192452
6.0,10.5,-73.52099245,-68.33741908,-67.68565771,-65.42665226,-72.26963661,-63.06963407,-68.08270561,-64.50286009,-71.19284582,-75.09523909,-67.66808762,-68.48736086,-69.05074807,-59.72691057,-69.03026365,-70.29425948
6.0,9.0,-74.43631872,-72.55171032,-70.25340055,-62.06262085,-73.73008094,-59.22366624,-68.20814944,-70.93998577,-70.15951122,-72.32458718,-69.44413828,-64.32032671,-71.37047254,-57.73867019,-68.99899046,-75.34066688
6.0,7.5,-73.28787243,-72.53601699,-73.62878293,-65.85863777,-69.72159514,-57.81841122,-59.36868493,-79.45661628,-72.52379222,-71.21324886,-71.38312386,-69.11652526,-71.58813931,-58.8424975,-59.87711617,-79.90963013
6.0,6.0,-72.44973211,-73.94266559,-72.01588585,-69.44844988,-74.15889619,-63.75465524,-61.14482932,-71.88396996,-72.30012775,-71.95659522,-73.44105441,-65.48223227,-73.04178874,-59.24528851,-59.82082605,-74.00686112
6.0,4.5,-68.09383243,-69.14822885,-77.90234826,-73.60904797,-65.9743979,-60.31559333,-63.50703039,-66.62151759,-70.77041981,-70.16266515,-79.73314712,-69.73770871,-68.39848347,-56.82581826,-63.84309107,-70.43796765
6.0,3.0,-70.11724284,-67.19062677,-80.85015201,-67.53283296,-64.0635369,-54.76911123,-63.14861141,-68.83058397,-75.23369366,-64.56081075,-78.10877191,-65.95951043,-63.27463603,-54.58381538,-63.07342326,-70.88198207
6.0,1.5,-76.80396771,-68.11201516,-73.44526961,-64.06325914,-63.20694184,-57.13886306,-62.91414027,-74.64061221,-72.88974669,-68.05966791,-75.58600315,-68.91645764,-62.92292927,-58.02234247,-66.85120951,-70.66989068
