x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
15,24,-72.68214943,-62.46638147,-65.8860022,-70.58943202,-73.8457398,-65.16514606,-61.03881403,-77.39553485
15,22.5,-73.2644896,-66.70709938,-67.81733975,-68.90654036,-70.30403151,-62.3692666,-62.22451994,-70.34191943
15,21,-74.99756248,-62.40638466,-68.0467523,-68.26836247,-66.32072398,-63.95968652,-65.30701401,-66.213958
15,19.5,-76.15094688,-70.16388003,-65.90899058,-66.8151334,-68.01101568,-61.12783793,-63.35386759,-63.10680719
15,18,-80.9643213,-64.47032211,-69.9681031,-69.09750905,-63.4442686,-61.42661149,-68.14856422,-73.52950275
15,16.5,-80.94600563,-68.39051628,-63.283705,-64.98395885,-63.47668736,-61.7222753,-69.67027107,-74.7048731
15,15,-77.79435126,-67.5664315,-68.75561385,-79.59508832,-67.41706433,-60.55309742,-62.87430258,-73.91725332
15,13.5,-76.60967596,-69.55206502,-76.00422957,-68.27048356,-61.17354366,-70.33586225,-60.97368664,-68.17625655
15,12,-79.89390945,-70.6162783,-73.85289646,-69.95497598,-66.7790785,-71.40112402,-61.86692498,-67.22342681
15,10.5,-77.91302894,-72.57693181,-73.54291888,-67.52606141,-64.46639624,-65.48135276,-58.84757791,-65.93949807
15,9,-79.19289343,-72.31424412,-71.25026981,-66.49725232,-61.12354639,-69.90162014,-57.00748578,-64.44443533
15,7.5,-72.42057955,-68.93915803,-70.08032724,-68.08629989,-58.38045921,-67.66598647,-55.40541597,-71.91314866
15,6,-74.60214783,-70.27812369,-69.18486688,-75.59478061,-64.59719731,-66.91541341,-58.90772428,-62.12749996
15,4.5,-75.93958747,-68.72067934,-77.45602393,-71.58528061,-74.25856356,-66.49510796,-56.90498554,-61.66927196
15,3,-71.33607045,-74.70003977,-72.98816523,-73.18503316,-62.74587765,-63.47406746,-54.66986368,-63.11112873
15,1.5,-76.2841892,-70.88838166,-73.36367859,-73.55575048,-62.27159842,-64.7010653,-56.28809822,-57.85213097
16.5,1.5,-82.28612149,-73.79592174,-70.51457616,-70.83591416,-62.79715458,-70.7159691,-58.00157169,-61.27287877
16.5,3,-78.00216472,-73.14528338,-68.5237743,-75.41077941,-66.01058798,-71.21192745,-57.52120137,-60.50822354
16.5,4.5,-74.37363944,-76.83477654,-77.02245981,-72.99340061,-65.3621186,-65.68076398,-57.12807711,-55.78859238
16.5,6,-78.23693408,-71.32723945,-71.51999146,-79.09035603,-56.82685137,-65.85554411,-57.80313827,-59.88833717
16.5,7.5,-77.99102177,-75.62655501,-74.44590824,-70.99453309,-57.54498966,-76.70174389,-63.14806481,-64.31984386
16.5,9,-76.39838499,-80.95817169,-73.34050805,-65.44295122,-56.3989923,-67.82378137,-67.07682449,-61.17034152
16.5,10.5,-75.64914136,-79.20519156,-73.54201233,-67.29620152,-56.58772711,-65.91355042,-59.82342828,-64.35465606
16.5,12,-76.01767089,-76.84067357,-67.60442918,-70.50283149,-59.81728693,-64.73295555,-59.40814317,-70.56129907
16.5,13.5,-76.64985871,-67.97707561,-71.8085349,-74.06613586,-59.16741062,-69.31429865,-59.08123412,-64.96483377
16.5,15,-79.09880269,-68.82061664,-69.12242274,-80.22660746,-64.3519747,-72.05716452,-64.0582386,-63.7785345
16.5,16.5,-78.94203418,-71.88348606,-65.5833264,-75.36845134,-65.54898841,-69.68352037,-75.15553114,-69.46155785
16.5,18,-76.4345386,-65.28717971,-68.67870959,-72.2609094,-60.92465231,-61.02253915,-73.78520742,-66.14036655
16.5,19.5,-75.85032559,-64.42328372,-63.87886981,-73.85034446,-69.99659342,-63.66358022,-73.26767322,-72.37505747
16.5,21,-75.33545495,-70.04130045,-60.58524265,-70.87147618,-59.27519992,-63.3691959,-68.32484773,-72.11423536
16.5,22.5,-72.22244489,-64.84134422,-68.1738277,-71.47810099,-60.05629095,-68.07222239,-62.16474112,-69.11776399
16.5,24,-74.1734728,-73.76739999,-59.73906853,-76.17930795,-63.66196438,-76.30530722,-60.83478989,-71.1768144
16.5,25.5,-72.30993523,-71.53016169,-61.0703988,-76.28122061,-65.98420185,-68.62458777,-68.98162552,-75.64628558
16.5,27,-72.87946012,-62.2444625,-61.8422223,-69.55383588,-61.43536434,-67.58421182,-71.27028248,-70.32031572
18,27,-73.0937643,-66.18812371,-59.50752605,-70.23121214,-59.63439265,-73.85239862,-70.10155756,-74.01950767
18,25.5,-74.20385502,-67.93164004,-62.92806148,-72.20094239,-60.9340971,-79.30451869,-75.34259318,-67.94161075
18,24,-74.79686152,-66.68699204,-60.58433371,-75.29279488,-60.0370885,-64.80779106,-69.21827148,-68.52401275
18,22.5,-74.78629899,-65.61599221,-62.34476912,-68.30148509,-62.08598889,-65.08805095,-68.42124673,-66.6081232
18,21,-73.92549216,-67.40743468,-69.24605137,-67.25083724,-60.6117116,-66.07962283,-70.29515148,-70.78287033
18,19.5,-72.27543971,-70.8397939,-62.49493877,-72.2858448,-57.51124867,-65.04968569,-66.09453831,-68.52462591
18,18,-77.05787032,-68.74692939,-69.42013613,-70.46910398,-56.87193099,-69.89584236,-63.31165401,-68.97313469
18,16.5,-70.11892689,-71.31693609,-69.0249571,-75.26844538,-56.98151644,-72.56566666,-62.96931355,-68.80670848
18,15,-77.68793675,-71.2569062,-69.9796415,-77.16754662,-63.99872892,-67.21451075,-63.0643869,-65.86786188
18,13.5,-77.36086448,-72.80478057,-71.77809253,-73.89943507,-57.37568508,-65.65417501,-57.4348734,-67.59337548
18,12,-79.15284505,-70.01441149,-67.0946239,-70.74247211,-54.58377363,-60.76853812,-63.12549132,-62.30048028
18,10.5,-75.05169328,-75.81323698,-73.19140074,-66.015814,-55.75571638,-61.23110724,-71.67822476,-60.59492382
18,9,-74.92443821,-75.78090927,-71.77899898,-69.61974389,-55.92199281,-64.95531072,-63.16689174,-63.02466101
18,7.5,-75.22115355,-78.87492532,-65.2196612,-68.68021711,-59.41141033,-71.60999372,-59.3880082,-66.63543139
18,6,-71.06841251,-75.91208627,-70.32853547,-78.4898706,-55.93944572,-71.28818867,-60.94812372,-68.80238785
18,4.5,-75.55190162,-77.46704886,-74.24357797,-72.56490413,-64.55698388,-65.74344068,-59.91052711,-55.47979693
18,3,-80.31586216,-76.18305973,-71.33197686,-70.19059193,-63.5338792,-71.3546904,-62.42439392,-56.18437765
18,1.5,-81.8210539,-81.61570222,-72.94440828,-75.43416492,-62.1140674,-68.77724655,-60.79383749,-55.19071656
19.5,1.5,-77.44565369,-75.84928917,-71.64734972,-76.92177685,-64.6610075,-70.80639937,-64.15954228,-55.08920205
19.5,3,-80.3593362,-75.22164284,-75.27992722,-73.07411038,-61.98977584,-72.40688732,-62.88605691,-55.26460932
19.5,4.5,-79.47971279,-71.95333152,-73.83560035,-76.76776799,-59.73627653,-64.0593727,-58.43122966,-58.40152015
19.5,6,-78.3147224,-74.87826566,-72.99076764,-68.01427269,-60.93733854,-67.42856053,-59.99965681,-63.34960514
19.5,7.5,-76.00602941,-72.04582555,-74.17701327,-73.50740818,-55.74962933,-64.24425052,-61.51764681,-60.32005061
19.5,9,-72.29366749,-72.4673112,-76.33753387,-66.89484404,-54.61978552,-67.90005625,-61.75568853,-64.04225889
