x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
4,3,-68.62339557,-61.78493438,-69.81813905,-61.12655649,-60.0939179,-54.70755564,-61.37876143,-73.1413272
4,4,-69.91100894,-63.70809023,-66.73827718,-62.69300949,-61.47667266,-56.10912227,-59.72737174,-74.94001014
4,6,-65.91903702,-63.80492773,-72.32051352,-63.32515984,-61.71832998,-57.92424564,-58.88502925,-71.37943526
4,7,-67.49704827,-62.14718246,-66.62632034,-66.10232661,-66.64400974,-57.23995453,-56.88816604,-69.8236377
4,8,-71.32803981,-61.78774008,-69.49311404,-57.1367943,-62.28966913,-58.1742276,-59.06065299,-70.33699911
4,10,-70.32029223,-59.5720427,-62.33925455,-61.66660472,-65.20366939,-56.64988897,-57.69976016,-67.00757158
4,12,-63.20044046,-57.45631264,-60.76444232,-60.49302432,-70.87683456,-60.09204883,-64.77319255,-69.37244489
4,13,-68.49242213,-57.44819799,-59.02294798,-64.27689949,-73.51595293,-59.13973668,-60.78145359,-70.1563597
4,14,-66.77753482,-53.37222443,-60.232603,-61.38254603,-67.6043671,-59.78749736,-61.4290729,-70.65195402
5,2,-71.22763201,-61.75970723,-71.07212339,-66.34294492,-62.74257592,-58.43551983,-54.56645785,-62.95969651
5,12,-65.51976467,-56.12042561,-61.34396425,-65.38473794,-72.06984304,-60.31394708,-65.65387868,-68.54684019
5,14,-63.29062762,-50.98522519,-60.49960563,-69.95846567,-66.39659526,-58.18733265,-60.78564841,-73.05712743
6,2,-68.8308489,-64.36689292,-71.92703776,-71.25431514,-65.2708566,-58.17358192,-51.46150051,-65.57252776
6,3,-75.10834499,-62.30664782,-71.35094584,-65.15169558,-71.51905936,-59.70543761,-50.38109769,-64.32050016
6,4,-70.46948685,-64.08448633,-68.78172234,-76.39773172,-65.5422456,-58.85822469,-57.83871603,-62.88586278
6,5,-70.3803075,-62.14236187,-67.28680414,-65.17560167,-64.33617537,-57.00092249,-55.96458237,-64.57540242
6,6,-72.36170569,-61.00254531,-62.03152091,-63.52653795,-63.56917061,-60.18011413,-60.13561203,-64.27183579
6,8,-70.17682892,-60.03715702,-64.28547724,-67.38768117,-60.94784409,-61.30675974,-57.88035629,-71.26669217
6,10,-69.15949724,-62.65996931,-59.04724985,-61.63273984,-65.77691822,-61.39329699,-58.42168143,-64.70421942
6,12,-66.45589015,-56.12550892,-65.56451341,-63.1930504,-67.55793589,-58.28655249,-62.18493338,-65.72812975
6,14,-71.09659216,-51.64779896,-62.20417419,-62.14324254,-64.49107644,-60.47550738,-61.97481835,-67.41699514
7,8,-69.68755844,-58.97472878,-63.64759146,-64.5284415,-60.91050424,-59.65296702,-58.0058888,-65.44811425
7,10,-68.24363157,-63.05453539,-63.62008268,-63.44528276,-66.84543358,-63.21259652,-59.16340703,-68.25581505
7,12,-65.82620781,-54.97865358,-64.08153543,-66.91759104,-64.22981087,-57.70091387,-64.81207076,-66.16870165
8,1,-76.12862226,-62.76432208,-73.45435004,-70.56482399,-62.24214074,-60.14100011,-39.63019175,-62.59214534
8,2,-75.87647114,-63.85984631,-72.35561925,-72.16015589,-61.9642361,-60.62767411,-46.67021588,-62.27973185
8,4,-71.53013632,-65.28954316,-64.25336693,-71.03854139,-61.94991969,-63.63058417,-51.72226994,-63.48234035
8,5,-73.98320623,-62.70884636,-64.8613608,-65.68103929,-64.65884366,-60.11238508,-53.10728093,-65.3282019
8,6,-72.13927416,-62.93167795,-64.4214171,-66.79988914,-62.83284897,-61.0928925,-55.18957167,-65.10585452
8,7,-71.30816778,-61.54100226,-65.46621825,-66.27653578,-61.96286506,-62.17192195,-57.12578811,-64.35492726
8,8,-72.89709887,-60.50524786,-64.46926293,-70.54737289,-66.32224685,-61.02010355,-54.8262032,-62.81481688
