x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
8,5,-70.38179526,-61.97284435,-66.06225727,-66.07647177,-67.87096172,-58.5696304,-53.45726323,-65.53330642
8,6,-71.5027248,-67.16459784,-71.53175909,-65.37485552,-67.27702085,-56.82577043,-56.60291227,-65.02884973
8,7,-71.5891555,-62.39267955,-72.67134776,-65.71587152,-68.78073495,-56.8678257,-57.68206111,-63.24541879
8,8,-65.54217928,-60.5284875,-68.85516488,-66.38476315,-65.98260682,-63.45035559,-56.40598384,-62.67215984
8,10,-73.7815764,-57.30716483,-65.20079111,-65.70204607,-66.86498544,-62.86931615,-89.61980871,-65.33910121
8,11,-71.08590543,-56.2887156,-69.74153346,-66.83283528,-64.13630176,-61.31094228,-81.7515243,-65.66991924
8,12,-76.68373971,-53.49664494,-74.19362696,-66.00277366,-62.6662425,-59.99837128,-60.81794396,-64.88469404
8,14,-73.48532304,-46.38779851,-67.20499575,-65.24923124,-65.16959804,-59.75030499,-60.3148526,-62.88680805
8,15,-94.5799525,-43.0276346,-67.74309608,-64.82792064,-62.01337502,-62.58226397,-60.18541652,-65.91654713
9,6,-70.23303217,-65.83693986,-70.34598418,-65.52833436,-63.8656635,-58.16452108,-55.59328523,-64.00875866
9,12,-65.76507156,-52.72181185,-61.15108722,-64.32569633,-63.85836525,-58.88480767,-61.3150102,-83.18679682
10,1,-74.73422141,-64.1515922,-70.0966812,-71.27683366,-62.52581223,-60.2892479,-48.93153186,-64.71749684
10,2,-96.47820213,-64.5432533,-66.72238761,-72.69642299,-64.4795641,-57.19783042,-49.41437651,-72.32732693
10,3,-85.98309331,-67.29809415,-66.92557426,-66.23855979,-61.60629704,-56.99404127,-51.48978641,-65.59786361
10,4,-69.54169065,-62.71282578,-65.35201862,-65.80248677,-58.38091923,-57.95849077,-51.42457287,-67.27626132
10,6,-70.61422761,-61.15602943,-69.11419489,-64.3412795,-59.83685158,-58.93679512,-57.68027202,-61.93908285
10,7,-72.2916723,-64.63818824,-64.09473483,-67.65819439,-59.7549482,-64.11058845,-60.95993068,-64.2963299
10,8,-76.50709008,-59.52466426,-61.02964088,-64.13589822,-65.47645856,-67.89157282,-55.99830781,-65.36780011
10,9,-78.38384597,-66.78376499,-61.74116249,-66.02518663,-62.02358653,-61.34431491,-58.08163998,-62.14808611
10,10,-71.08678172,-60.6128723,-65.40214303,-64.41157052,-64.7063949,-59.90253717,-55.66199183,-62.1309099
10,12,-65.50826714,-61.41862434,-60.88053677,-62.7053572,-67.11205963,-61.55528666,-62.35439039,-64.88975026
10,14,-67.29074291,-54.80144193,-65.99248709,-64.50676236,-60.35824911,-68.20251382,-61.316747,-61.19888913
11,2,-72.3989643,-64.35193692,-68.42788893,-97.0965373,-60.27729363,-61.00300228,-49.77296771,-65.63370574
11,6,-71.79552415,-60.68591221,-69.61488433,-68.48370416,-60.51740878,-62.08893859,-58.75039374,-63.72996924
11,12,-70.4356662,-61.10546049,-91.43701505,-66.55273069,-68.3695514,-63.17978704,-63.6850518,-63.01340647
12,2,-78.46696086,-66.50314027,-74.30539083,-68.07184766,-55.87807224,-58.49111553,-58.09768867,-55.26331581
12,4,-70.23731871,-67.28254204,-69.62987042,-69.80983172,-54.65395084,-62.78947053,-59.86861871,-60.04623055
12,5,-68.66494929,-62.56930213,-72.05169872,-72.51501009,-51.89138851,-59.03418941,-55.92753168,-64.72697361
12,6,-67.40930281,-60.1650382,-68.117145,-74.20522314,-56.95708373,-57.92580687,-60.54164114,-60.79816327
12,7,-69.39816071,-66.72778283,-65.62932672,-75.71872231,-54.28184367,-59.85734992,-60.78517681,-64.84145672
12,8,-68.06567985,-64.62251081,-66.79965198,-67.21699674,-53.31148752,-59.82862426,-67.96608787,-60.39012906
12,10,-71.6922801,-70.17608994,-58.8768656,-65.75653621,-58.66638781,-61.83202293,-58.43350662,-60.44346942
