x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
8,4,-68.6555813,-64.08777399,-68.00366832,-66.62820999,-68.03914924,-60.25418614,-51.36866554,-62.98275392,-71.53013632,-65.28954316,-64.25336693,-71.03854139,-61.94991969,-63.63058417,-51.72226994,-63.48234035
8,5,-70.38179526,-61.97284435,-66.06225727,-66.07647177,-67.87096172,-58.5696304,-53.45726323,-65.53330642,-73.98320623,-62.70884636,-64.8613608,-65.68103929,-64.65884366,-60.11238508,-53.10728093,-65.3282019
8,6,-71.5027248,-67.16459784,-71.53175909,-65.37485552,-67.27702085,-56.82577043,-56.60291227,-65.02884973,-72.13927416,-62.93167795,-64.4214171,-66.79988914,-62.83284897,-61.0928925,-55.18957167,-65.10585452
8,7,-71.5891555,-62.39267955,-72.67134776,-65.71587152,-68.78073495,-56.8678257,-57.68206111,-63.24541879,-71.30816778,-61.54100226,-65.46621825,-66.27653578,-61.96286506,-62.17192195,-57.12578811,-64.35492726
8,8,-65.54217928,-60.5284875,-68.85516488,-66.38476315,-65.98260682,-63.45035559,-56.40598384,-62.67215984,-72.89709887,-60.50524786,-64.46926293,-70.54737289,-66.32224685,-61.02010355,-54.8262032,-62.81481688
8,10,-73.7815764,-57.30716483,-65.20079111,-65.70204607,-66.86498544,-62.86931615,-89.61980871,-65.33910121,-68.64358006,-60.55853503,-60.96841759,-63.50042015,-72.03952361,-61.09607491,-57.98484104,-67.94222997
8,11,-71.08590543,-56.2887156,-69.74153346,-66.83283528,-64.13630176,-61.31094228,-81.7515243,-65.66991924,-67.98705368,-66.07846704,-61.82186812,-65.13957458,-73.49494558,-60.55181894,-59.97106503,-66.41584125
8,12,-76.68373971,-53.49664494,-74.19362696,-66.00277366,-62.6662425,-59.99837128,-60.81794396,-64.88469404,-73.16166127,-54.38298195,-62.87407657,-68.12384973,-68.66088678,-59.83202302,-63.68708664,-64.1899105
8,14,-73.48532304,-46.38779851,-67.20499575,-65.24923124,-65.16959804,-59.75030499,-60.3148526,-62.88680805,-64.13747055,-48.39813628,-62.38877662,-67.37236777,-72.97729814,-59.95745427,-60.05352094,-64.64463188
8,15,-94.5799525,-43.0276346,-67.74309608,-64.82792064,-62.01337502,-62.58226397,-60.18541652,-65.91654713,-69.90189881,-46.31549863,-65.71418288,-63.77351932,-61.79943641,-62.50231333,-59.92103423,-66.44211905
9,6,-70.23303217,-65.83693986,-70.34598418,-65.52833436,-63.8656635,-58.16452108,-55.59328523,-64.00875866,-75.01109855,-68.87781316,-64.34619592,-70.09783752,-65.83257454,-62.36604034,-54.24141053,-66.0585469
9,12,-65.76507156,-52.72181185,-61.15108722,-64.32569633,-63.85836525,-58.88480767,-61.3150102,-83.18679682,-65.22475126,-60.42960012,-63.20447037,-63.65177197,-65.67602715,-59.54960631,-63.75876127,-63.90298108
10,1,-74.73422141,-64.1515922,-70.0966812,-71.27683366,-62.52581223,-60.2892479,-48.93153186,-64.71749684,-77.16561397,-67.09730611,-72.85937367,-71.74122871,-59.71751193,-60.41080721,-47.7083336,-66.15587379
