x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
6,12,-67.01391042,-55.75790322,-75.12962966,-59.99814566,-66.49102298,-60.98954293,-60.09870199,-63.74224432,-69.37945919,-56.61109757,-63.49352976,-62.47364396,-68.93466731,-58.56513985,-62.07651267,-68.27810701
6,14,-69.76950041,-54.63987608,-70.39064691,-61.28980484,-79.63241493,-58.35009175,-59.27567096,-67.64714357,-65.46349851,-54.90444108,-62.89232011,-63.47643265,-65.75190665,-58.63484933,-61.16539454,-71.45901567
7,8,-65.0168172,-60.19342129,-75.53459194,-63.55907494,-60.3909949,-58.54073484,-58.24607747,-65.22447551,-68.20810924,-63.91125695,-64.71354409,-65.81556631,-60.92727745,-58.87778828,-55.73969009,-68.18743206
7,10,-69.14776743,-56.26377638,-66.17811542,-63.22711908,-63.87888006,-65.55939019,-58.37476992,-67.82628404,-68.04774485,-59.6326527,-63.15748433,-65.44817476,-67.60736962,-60.94706744,-56.49865112,-72.45943623
7,12,-66.37959885,-54.53628954,-67.9904689,-63.25001726,-68.26792961,-60.23971378,-62.58887407,-62.6165689,-66.90130635,-54.53794858,-66.66837152,-66.68575167,-71.18345014,-58.31056094,-62.85705964,-66.09939201
8,1,-68.24779518,-66.29132229,-73.28443633,-68.80530563,-75.93909138,-59.96812355,-40.06006086,-63.05616018,-73.63071502,-64.8265688,-72.71668718,-70.20303204,-64.43125917,-61.20680555,-38.85333401,-60.92034237
8,2,-71.11061943,-67.77890724,-97.93557647,-69.61220384,-97.45387765,-58.7860449,-46.96244019,-60.34196399,-71.88355112,-65.51706566,-71.2790843,-71.36521509,-64.59712054,-59.9479494,-46.11270099,-60.84432603
8,4,-68.6555813,-64.08777399,-68.00366832,-66.62820999,-68.03914924,-60.25418614,-51.36866554,-62.98275392,-72.81339557,-68.67594124,-66.4783069,-66.94093044,-64.92844691,-61.53737192,-51.88012782,-64.68364365
8,5,-70.38179526,-61.97284435,-66.06225727,-66.07647177,-67.87096172,-58.5696304,-53.45726323,-65.53330642,-74.84068718,-64.80342603,-65.55764481,-64.35373331,-67.67509581,-61.22937646,-52.17660167,-67.30762026
8,6,-71.5027248,-67.16459784,-71.53175909,-65.37485552,-67.27702085,-56.82577043,-56.60291227,-65.02884973,-71.49790415,-65.32960388,-64.67162105,-66.66265369,-67.37847989,-59.08319468,-55.44399143,-66.30543059
8,7,-71.5891555,-62.39267955,-72.67134776,-65.71587152,-68.78073495,-56.8678257,-57.68206111,-63.24541879,-67.75798186,-64.71438848,-64.6451217,-66.685075,-65.79914628,-59.98318847,-55.85855469,-64.55697852
8,8,-65.54217928,-60.5284875,-68.85516488,-66.38476315,-65.98260682,-63.45035559,-56.40598384,-62.67215984,-69.63459476,-61.92605684,-65.20208768,-65.6543361,-66.55909315,-61.73697616,-54.89857201,-64.54690872
8,10,-73.7815764,-57.30716483,-65.20079111,-65.70204607,-66.86498544,-62.86931615,-89.61980871,-65.33910121,-68.2824283,-64.04250353,-64.77410315,-65.12449587,-70.28623793,-61.5538571,-58.769743,-70.49534788
8,11,-71.08590543,-56.2887156,-69.74153346,-66.83283528,-64.13630176,-61.31094228,-81.7515243,-65.66991924,-69.41852788,-63.07127232,-63.81933638,-65.83707552,-67.37406471,-60.10095217,-59.18083475,-68.51248705
8,12,-76.68373971,-53.49664494,-74.19362696,-66.00277366,-62.6662425,-59.99837128,-60.81794396,-64.88469404,-73.93584506,-53.35841117,-65.28805061,-66.74751342,-67.02432353,-58.67456329,-63.34611409,-65.67647423
8,14,-73.48532304,-46.38779851,-67.20499575,-65.24923124,-65.16959804,-59.75030499,-60.3148526,-62.88680805,-64.89209559,-49.09125159,-63.68868615,-66.27823571,-67.66809572,-60.79748317,-59.96586851,-66.11027544
8,15,-94.5799525,-43.0276346,-67.74309608,-64.82792064,-62.01337502,-62.58226397,-60.18541652,-65.91654713,-65.99277079,-45.45387987,-64.3279937,-65.1726433,-64.35433513,-63.28155315,-59.72567925,-68.03683894
9,6,-70.23303217,-65.83693986,-70.34598418,-65.52833436,-63.8656635,-58.16452108,-55.59328523,-64.00875866,-71.14811561,-68.46008985,-65.95397814,-70.82440742,-68.91383524,-61.53022332,-55.41346564,-66.33478261
9,12,-65.76507156,-52.72181185,-61.15108722,-64.32569633,-63.85836525,-58.88480767,-61.3150102,-83.18679682,-66.78633727,-60.42774198,-64.03802661,-65.07847153,-67.13669442,-59.65348247,-63.35443883,-65.79763289
10,1,-74.73422141,-64.1515922,-70.0966812,-71.27683366,-62.52581223,-60.2892479,-48.93153186,-64.71749684,-73.4758353,-68.60965206,-72.03970988,-72.26150711,-60.30979531,-60.65650945,-48.42433706,-66.19680141
10,2,-96.47820213,-64.5432533,-66.72238761,-72.69642299,-64.4795641,-57.19783042,-49.41437651,-72.32732693,-72.1352677,-70.24375181,-69.72191687,-69.48950116,-61.692221,-59.39196739,-48.69760351,-62.63917432
10,3,-85.98309331,-67.29809415,-66.92557426,-66.23855979,-61.60629704,-56.99404127,-51.48978641,-65.59786361,-73.23636042,-72.07442245,-66.62991588,-69.22728991,-62.55251567,-59.50912855,-48.76764285,-61.3682072
10,4,-69.54169065,-62.71282578,-65.35201862,-65.80248677,-58.38091923,-57.95849077,-51.42457287,-67.27626132,-73.56889761,-70.08711615,-65.50224364,-67.87217636,-61.41499539,-62.11310856,-52.84144851,-65.55425413
