x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
2,12,-70.46015571,-59.91219378,-67.35814553,-57.26714969,-69.63432373,-60.40382269,-60.80098869,-85.3998941,-64.58600166,-62.70340928,-62.42535381,-59.55251887,-71.94573785,-61.60375002,-60.64208998,-73.89109813,-59.51584807,-64.22758165,-65.74978935,-60.43601054,-69.10420886,-61.53499574,-60.48275432,-71.69456261
2,14,-57.80842222,-60.13092213,-65.86742734,-64.46884927,-65.81972942,-60.75373223,-58.70957103,-70.06227294,-57.52451016,-61.16383003,-60.54107737,-63.85925759,-68.57791702,-60.65873548,-60.16555677,-74.17381388,-60.43593586,-61.69432425,-62.61540237,-63.0028123,-70.4062267,-59.96241588,-60.13762853,-73.5139954
3,2,-67.21483924,-66.32272578,-69.41352373,-61.60074416,-63.74972172,-51.41123231,-59.63808015,-67.32933135,-71.20904241,-64.46499006,-68.00738164,-62.99839927,-62.75051189,-51.59019592,-63.40901665,-69.32868441,-74.17716273,-64.13952399,-65.45159299,-63.20610822,-62.98343012,-51.18220108,-60.19659592,-73.77496254
3,6,-61.66077222,-60.8276218,-69.41942613,-57.5315015,-64.38863709,-58.43306332,-61.42300266,-67.38454902,-63.48670839,-65.60936023,-67.91237973,-59.77410319,-61.05175167,-55.35871342,-59.96022133,-69.63088813,-66.21901199,-63.95773099,-68.67817492,-65.90678211,-60.61484321,-55.79644475,-62.02505605,-70.75706056
3,10,-65.63241287,-77.87746461,-66.22962818,-56.7742671,-85.14909478,-56.62588925,-60.47351792,-65.10922905,-70.24974937,-59.43972318,-64.47662618,-57.57390563,-68.89389268,-56.75240039,-59.50135042,-69.46340856,-66.58899283,-57.86628325,-66.90055032,-57.41768972,-67.40945122,-56.17790211,-61.16621699,-67.85885167
3,12,-62.25923797,-58.43962703,-67.95971331,-58.02217265,-65.50523463,-61.19827851,-60.61544236,-67.40079334,-60.383686,-56.78091984,-58.94323157,-57.33391973,-70.92497151,-61.4569792,-61.58007453,-72.08203349,-62.62252172,-57.33146814,-59.99194647,-58.06347863,-73.48704811,-60.49074433,-61.47916288,-74.08844618
3,14,-60.0654303,-57.89907051,-66.78295133,-61.61984435,-69.41698378,-60.34396999,-58.42360165,-69.90923651,-68.40017295,-57.36899486,-59.81920687,-62.09510596,-70.09380214,-59.4589751,-59.79183297,-75.6536657,-65.45487339,-60.49126083,-63.57104192,-63.34547518,-68.59437246,-59.44158345,-61.34247812,-75.3323509
4,1,-65.46677282,-67.32189745,-73.33165822,-74.90426303,-64.7225478,-52.04602568,-57.43261126,-65.579011,-71.0557193,-65.99950296,-69.55132674,-65.04829505,-62.34131258,-56.96368015,-61.58323925,-65.57465405,-74.95816927,-65.39642552,-66.40193023,-65.16200281,-61.69249224,-55.98273744,-61.14790325,-66.02832614
4,2,-66.78020527,-66.85387439,-68.69235396,-100.0,-62.35671821,-56.07597932,-59.4264934,-96.10309284,-71.64999783,-64.54885471,-68.89731628,-71.39916678,-60.68154658,-56.87659923,-59.47442559,-67.89455726,-70.26786431,-65.4268877,-66.81682263,-74.32465144,-60.24305134,-56.02915706,-62.6736045,-70.26655506
4,3,-67.10051035,-65.49815249,-70.74185651,-71.29392402,-63.12519635,-53.59709636,-55.16181689,-76.70594744,-70.22079246,-63.02814177,-68.4709267,-60.42188567,-60.03799093,-54.70746705,-58.23180293,-69.51664625,-68.62339557,-61.78493438,-69.81813905,-61.12655649,-60.0939179,-54.70755564,-61.37876143,-73.1413272
