x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
8,7,-71.30816778,-61.54100226,-65.46621825,-66.27653578,-61.96286506,-62.17192195,-57.12578811,-64.35492726,-67.75798186,-64.71438848,-64.6451217,-66.685075,-65.79914628,-59.98318847,-55.85855469,-64.55697852
8,8,-72.89709887,-60.50524786,-64.46926293,-70.54737289,-66.32224685,-61.02010355,-54.8262032,-62.81481688,-69.63459476,-61.92605684,-65.20208768,-65.6543361,-66.55909315,-61.73697616,-54.89857201,-64.54690872
8,10,-68.64358006,-60.55853503,-60.96841759,-63.50042015,-72.03952361,-61.09607491,-57.98484104,-67.94222997,-68.2824283,-64.04250353,-64.77410315,-65.12449587,-70.28623793,-61.5538571,-58.769743,-70.49534788
8,11,-67.98705368,-66.07846704,-61.82186812,-65.13957458,-73.49494558,-60.55181894,-59.97106503,-66.41584125,-69.41852788,-63.07127232,-63.81933638,-65.83707552,-67.37406471,-60.10095217,-59.18083475,-68.51248705
8,12,-73.16166127,-54.38298195,-62.87407657,-68.12384973,-68.66088678,-59.83202302,-63.68708664,-64.1899105,-73.93584506,-53.35841117,-65.28805061,-66.74751342,-67.02432353,-58.67456329,-63.34611409,-65.67647423
8,14,-64.13747055,-48.39813628,-62.38877662,-67.37236777,-72.97729814,-59.95745427,-60.05352094,-64.64463188,-64.89209559,-49.09125159,-63.68868615,-66.27823571,-67.66809572,-60.79748317,-59.96586851,-66.11027544
8,15,-69.90189881,-46.31549863,-65.71418288,-63.77351932,-61.79943641,-62.50231333,-59.92103423,-66.44211905,-65.99277079,-45.45387987,-64.3279937,-65.1726433,-64.35433513,-63.28155315,-59.72567925,-68.03683894
9,6,-75.01109855,-68.87781316,-64.34619592,-70.09783752,-65.83257454,-62.36604034,-54.24141053,-66.0585469,-71.14811561,-68.46008985,-65.95397814,-70.82440742,-68.91383524,-61.53022332,-55.41346564,-66.33478261
9,12,-65.22475126,-60.42960012,-63.20447037,-63.65177197,-65.67602715,-59.54960631,-63.75876127,-63.90298108,-66.78633727,-60.42774198,-64.03802661,-65.07847153,-67.13669442,-59.65348247,-63.35443883,-65.79763289
10,1,-77.16561397,-67.09730611,-72.85937367,-71.74122871,-59.71751193,-60.41080721,-47.7083336,-66.15587379,-73.4758353,-68.60965206,-72.03970988,-72.26150711,-60.30979531,-60.65650945,-48.42433706,-66.19680141
10,2,-76.1213996,-70.82058283,-68.52012447,-70.69879648,-60.26215353,-59.43066883,-47.12057931,-62.75923374,-72.1352677,-70.24375181,-69.72191687,-69.48950116,-61.692221,-59.39196739,-48.69760351,-62.63917432
10,3,-72.4467578,-69.4517062,-64.68071217,-69.39054513,-59.54965715,-59.77464198,-49.0645087,-59.57749076,-73.23636042,-72.07442245,-66.62991588,-69.22728991,-62.55251567,-59.50912855,-48.76764285,-61.3682072
10,4,-76.44601181,-67.63687683,-61.71844515,-68.03507578,-60.96519576,-62.64559032,-53.46967754,-62.2977018,-73.56889761,-70.08711615,-65.50224364,-67.87217636,-61.41499539,-62.11310856,-52.84144851,-65.55425413
10,6,-73.09295247,-66.63268926,-65.6643606,-68.77205342,-59.29420896,-64.06344337,-54.87191894,-60.77494715,-72.7691884,-65.1871816,-66.07227576,-68.25548545,-62.18670708,-64.98277955,-56.20043615,-62.02711662
10,7,-71.24407257,-70.10759458,-63.49768708,-65.91541367,-61.16580715,-66.30198524,-58.4652669,-67.51775613,-71.08945114,-66.11200498,-67.93250193,-64.25827038,-61.52884659,-67.21593894,-57.58564211,-67.30657259
10,8,-74.05704704,-61.14923418,-66.87686944,-63.04813916,-63.04045835,-64.21439797,-55.64664845,-62.41515285,-73.12761248,-59.31735509,-64.14730884,-62.94088862,-66.94722008,-65.5042142,-55.09320747,-67.03090386
10,9,-71.58922893,-71.95805141,-62.32895096,-64.96348838,-61.97621057,-61.26125584,-57.405345,-61.22253084,-73.72834979,-68.28478516,-63.26273894,-61.9956813,-62.03512765,-62.99466941,-57.88874716,-63.71621893
10,10,-74.00166594,-61.90099466,-61.4769217,-66.10992002,-61.13227419,-62.18486611,-56.6061964,-61.32921959,-72.93358286,-59.62017701,-64.20292609,-62.32658495,-66.79127018,-61.50073789,-56.6259628,-63.88958196
10,12,-67.72630112,-58.53814758,-64.14092669,-65.21093982,-65.60353178,-61.59136001,-62.68778291,-65.30612492,-66.78300733,-64.48044086,-63.07068692,-64.65849411,-64.14955953,-62.70796685,-62.76353674,-67.2090291
10,14,-66.15702617,-61.60836768,-65.93674419,-66.63630105,-61.88968687,-66.5844173,-60.96419731,-63.65695164,-68.35532562,-56.16679432,-63.44488659,-67.83111348,-63.9103779,-66.79546398,-60.81328668,-64.36814456
11,2,-73.15159069,-66.27422658,-65.5412821,-71.37114605,-56.68382854,-64.96628511,-49.8936171,-61.5592157,-70.87048521,-69.80339634,-68.93229565,-73.10875075,-60.01406472,-62.76562484,-49.7629449,-64.76796186
11,6,-70.26189671,-63.86939007,-65.10672092,-71.70065132,-57.66591442,-68.22777089,-55.60406882,-64.52727846,-71.28930662,-67.17509831,-66.70385676,-69.35213929,-58.90526686,-67.59269854,-57.10182721,-65.2179532
11,12,-71.8649285,-59.70684168,-62.02929409,-68.08408577,-64.97522965,-68.47397686,-62.88119312,-66.62569295,-75.76048819,-59.13082283,-62.20207263,-68.39637639,-65.66596252,-64.6377261,-62.94422717,-67.28215034
12,2,-72.80761474,-68.70568981,-68.28976214,-75.32056939,-54.58207993,-67.28086891,-53.7479377,-64.45766135,-72.37857858,-70.72932749,-69.06312627,-72.6617384,-57.21619923,-66.62918502,-55.33759904,-62.40800361
12,4,-73.74475152,-73.02447561,-63.69009971,-75.11532781,-52.28851701,-69.39615742,-55.02316001,-58.5032489,-73.93285252,-70.39818166,-66.65767186,-73.34273069,-52.95574427,-67.37148316,-55.09942914,-60.0250192
