x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
6,5,-70.85 ,-66.23 ,-68.94 ,-62.83 ,-67.83 ,-57.52 ,-56.69 ,-62.90 
6,4,-72.58 ,-68.35 ,-70.67 ,-71.19 ,-68.37 ,-59.06 ,-54.59 ,-62.85 
6,3,-71.85 ,-66.71 ,-73.00 ,-67.33 ,-68.72 ,-58.43 ,-49.61 ,-63.08 
6,2,-71.88 ,-64.83 ,-73.06 ,-67.43 ,-67.31 ,-57.35 ,-51.06 ,-64.37 
6,1,-70.35 ,-66.75 ,-70.72 ,-70.44 ,-64.35 ,-57.52 ,-53.94 ,-63.01 
7,1,-71.50 ,-66.98 ,-74.11 ,-73.59 ,-66.66 ,-59.85 ,-44.08 ,-68.17 
7,2,-71.99 ,-65.75 ,-73.33 ,-76.05 ,-67.01 ,-58.85 ,-47.49 ,-69.21 
7,3,-71.91 ,-67.65 ,-70.50 ,-65.36 ,-65.69 ,-57.67 ,-48.15 ,-68.41 
7,4,-73.37 ,-66.24 ,-66.87 ,-63.92 ,-65.66 ,-59.09 ,-50.66 ,-66.39 
7,5,-74.96 ,-64.62 ,-66.51 ,-67.68 ,-62.10 ,-59.80 ,-54.74 ,-63.65 
7,6,-71.48 ,-66.53 ,-66.59 ,-69.52 ,-60.32 ,-61.76 ,-57.67 ,-63.27 
7,7,-65.84 ,-63.74 ,-65.40 ,-68.11 ,-60.30 ,-59.26 ,-57.31 ,-64.66 
7,8,-68.21 ,-63.91 ,-64.71 ,-65.82 ,-60.93 ,-58.88 ,-55.74 ,-68.19 
7,9,-70.61 ,-61.62 ,-63.86 ,-65.39 ,-64.17 ,-60.80 ,-59.22 ,-71.11 
7,10,-68.05 ,-59.63 ,-63.16 ,-65.45 ,-67.61 ,-60.95 ,-56.50 ,-72.46 
7,11,-69.65 ,-56.30 ,-66.07 ,-64.54 ,-71.74 ,-58.63 ,-58.26 ,-67.30 
7,12,-66.90 ,-54.54 ,-66.67 ,-66.69 ,-71.18 ,-58.31 ,-62.86 ,-66.10 
7,13,-65.89 ,-55.12 ,-66.43 ,-63.46 ,-68.21 ,-57.92 ,-62.01 ,-67.10 
7,14,-71.38 ,-46.62 ,-63.67 ,-67.06 ,-66.46 ,-59.29 ,-60.64 ,-68.28 
7,15,-67.94 ,-45.92 ,-63.92 ,-68.12 ,-64.00 ,-62.19 ,-61.23 ,-69.82 
8,15,-65.99 ,-45.45 ,-64.33 ,-65.17 ,-64.35 ,-63.28 ,-59.73 ,-68.04 
8,14,-64.89 ,-49.09 ,-63.69 ,-66.28 ,-67.67 ,-60.80 ,-59.97 ,-66.11 
8,13,-67.83 ,-52.52 ,-64.32 ,-66.81 ,-69.60 ,-59.32 ,-63.10 ,-65.39 
8,12,-73.94 ,-53.36 ,-65.29 ,-66.75 ,-67.02 ,-58.67 ,-63.35 ,-65.68 
8,11,-69.42 ,-63.07 ,-63.82 ,-65.84 ,-67.37 ,-60.10 ,-59.18 ,-68.51 
8,10,-68.28 ,-64.04 ,-64.77 ,-65.12 ,-70.29 ,-61.55 ,-58.77 ,-70.50 
8,9,-68.99 ,-62.92 ,-63.26 ,-66.77 ,-66.37 ,-64.27 ,-58.50 ,-66.92 
8,8,-69.63 ,-61.93 ,-65.20 ,-65.65 ,-66.56 ,-61.74 ,-54.90 ,-64.55 
8,7,-67.76 ,-64.71 ,-64.65 ,-66.69 ,-65.80 ,-59.98 ,-55.86 ,-64.56 
8,6,-71.50 ,-65.33 ,-64.67 ,-66.66 ,-67.38 ,-59.08 ,-55.44 ,-66.31 
8,5,-74.84 ,-64.80 ,-65.56 ,-64.35 ,-67.68 ,-61.23 ,-52.18 ,-67.31 
8,4,-72.81 ,-68.68 ,-66.48 ,-66.94 ,-64.93 ,-61.54 ,-51.88 ,-64.68 
8,3,-72.19 ,-67.62 ,-69.22 ,-70.83 ,-64.36 ,-61.03 ,-49.15 ,-62.32 
8,2,-71.88 ,-65.52 ,-71.28 ,-71.37 ,-64.60 ,-59.95 ,-46.11 ,-60.84 
8,1,-73.63 ,-64.83 ,-72.72 ,-70.20 ,-64.43 ,-61.21 ,-38.85 ,-60.92 
9,1,-73.60 ,-69.54 ,-73.34 ,-68.96 ,-61.12 ,-61.30 ,-40.27 ,-64.83 
9,2,-73.38 ,-70.72 ,-69.97 ,-66.94 ,-63.49 ,-60.62 ,-46.29 ,-64.24 
9,3,-71.88 ,-71.80 ,-67.98 ,-67.65 ,-62.64 ,-59.74 ,-47.44 ,-68.08 
9,4,-73.13 ,-68.26 ,-65.53 ,-68.70 ,-65.35 ,-60.81 ,-49.92 ,-62.97 
9,5,-72.94 ,-64.93 ,-64.86 ,-70.74 ,-66.48 ,-60.95 ,-53.42 ,-60.82 
9,6,-71.15 ,-68.46 ,-65.95 ,-70.82 ,-68.91 ,-61.53 ,-55.41 ,-66.33 
9,7,-70.35 ,-63.03 ,-69.29 ,-69.89 ,-72.47 ,-63.37 ,-56.37 ,-69.09 
9,8,-72.27 ,-58.26 ,-66.95 ,-66.45 ,-70.27 ,-66.26 ,-55.21 ,-64.49 
9,9,-73.16 ,-63.38 ,-65.31 ,-66.19 ,-67.83 ,-63.24 ,-58.15 ,-63.38 
9,10,-67.94 ,-60.75 ,-63.01 ,-65.61 ,-68.64 ,-60.30 ,-58.34 ,-66.92 
9,11,-65.94 ,-62.06 ,-61.59 ,-66.49 ,-71.37 ,-60.36 ,-58.91 ,-68.80 
9,12,-66.79 ,-60.43 ,-64.04 ,-65.08 ,-67.14 ,-59.65 ,-63.35 ,-65.80 
9,13,-71.25 ,-60.05 ,-64.05 ,-65.20 ,-63.54 ,-61.41 ,-63.36 ,-65.18 
9,14,-72.60 ,-57.43 ,-64.98 ,-64.24 ,-66.33 ,-63.62 ,-61.45 ,-64.73 
9,15,-72.11 ,-56.38 ,-65.27 ,-65.27 ,-66.72 ,-65.26 ,-60.84 ,-66.95 
10,15,-67.28 ,-56.67 ,-64.16 ,-69.31 ,-67.68 ,-67.83 ,-60.51 ,-65.70 
10,14,-68.36 ,-56.17 ,-63.44 ,-67.83 ,-63.91 ,-66.80 ,-60.81 ,-64.37 
10,13,-67.13 ,-56.45 ,-64.46 ,-65.28 ,-64.98 ,-64.55 ,-61.58 ,-65.05 
10,12,-66.78 ,-64.48 ,-63.07 ,-64.66 ,-64.15 ,-62.71 ,-62.76 ,-67.21 
10,11,-67.96 ,-60.26 ,-63.29 ,-63.80 ,-66.15 ,-61.14 ,-59.12 ,-66.38 
10,10,-72.93 ,-59.62 ,-64.20 ,-62.33 ,-66.79 ,-61.50 ,-56.63 ,-63.89 
10,9,-73.73 ,-68.28 ,-63.26 ,-62.00 ,-62.04 ,-62.99 ,-57.89 ,-63.72 
10,8,-73.13 ,-59.32 ,-64.15 ,-62.94 ,-66.95 ,-65.50 ,-55.09 ,-67.03 
10,7,-71.09 ,-66.11 ,-67.93 ,-64.26 ,-61.53 ,-67.22 ,-57.59 ,-67.31 
10,6,-72.77 ,-65.19 ,-66.07 ,-68.26 ,-62.19 ,-64.98 ,-56.20 ,-62.03 
10,5,-73.21 ,-65.42 ,-66.38 ,-68.44 ,-62.90 ,-64.45 ,-55.75 ,-64.43 
10,4,-73.57 ,-70.09 ,-65.50 ,-67.87 ,-61.41 ,-62.11 ,-52.84 ,-65.55 
10,3,-73.24 ,-72.07 ,-66.63 ,-69.23 ,-62.55 ,-59.51 ,-48.77 ,-61.37 
10,2,-72.14 ,-70.24 ,-69.72 ,-69.49 ,-61.69 ,-59.39 ,-48.70 ,-62.64 
10,1,-73.48 ,-68.61 ,-72.04 ,-72.26 ,-60.31 ,-60.66 ,-48.42 ,-66.20 
11,1,-72.38 ,-70.66 ,-70.16 ,-72.79 ,-58.00 ,-63.14 ,-50.74 ,-65.61 
11,2,-70.87 ,-69.80 ,-68.93 ,-73.11 ,-60.01 ,-62.77 ,-49.76 ,-64.77 
11,3,-72.04 ,-70.00 ,-67.67 ,-72.23 ,-59.54 ,-63.91 ,-50.45 ,-63.07 
11,4,-74.75 ,-69.02 ,-66.93 ,-72.97 ,-61.97 ,-66.24 ,-52.73 ,-64.82 
11,5,-74.60 ,-66.87 ,-66.36 ,-71.89 ,-56.10 ,-67.78 ,-56.33 ,-61.39 
11,6,-71.29 ,-67.18 ,-66.70 ,-69.35 ,-58.91 ,-67.59 ,-57.10 ,-65.22 
11,7,-70.21 ,-72.76 ,-65.40 ,-65.39 ,-65.12 ,-65.09 ,-56.35 ,-63.42 
11,8,-69.97 ,-62.51 ,-61.42 ,-63.80 ,-65.55 ,-63.57 ,-55.47 ,-66.78 
11,9,-71.25 ,-64.28 ,-62.89 ,-62.55 ,-60.39 ,-62.60 ,-56.84 ,-63.35 
11,10,-74.02 ,-64.28 ,-62.70 ,-63.59 ,-58.64 ,-62.23 ,-56.27 ,-62.08 
11,11,-75.62 ,-64.39 ,-60.04 ,-64.95 ,-64.45 ,-62.60 ,-59.97 ,-63.95 
11,12,-75.76 ,-59.13 ,-62.20 ,-68.40 ,-65.67 ,-64.64 ,-62.94 ,-67.28 
11,13,-72.11 ,-59.76 ,-59.18 ,-70.44 ,-62.17 ,-67.87 ,-60.21 ,-65.63 
11,14,-68.79 ,-61.56 ,-63.75 ,-72.24 ,-65.54 ,-70.48 ,-60.02 ,-64.46 
11,15,-66.36 ,-65.02 ,-60.61 ,-72.32 ,-62.91 ,-67.67 ,-60.26 ,-65.85 
12,15,-68.14 ,-64.07 ,-52.21 ,-70.24 ,-59.98 ,-66.97 ,-59.66 ,-64.38 
12,14,-70.64 ,-63.82 ,-55.26 ,-71.19 ,-61.21 ,-69.33 ,-58.67 ,-65.17 
12,13,-71.92 ,-59.76 ,-52.43 ,-70.10 ,-62.57 ,-68.97 ,-59.12 ,-66.24 
12,12,-74.83 ,-63.00 ,-58.19 ,-69.13 ,-61.06 ,-67.13 ,-61.37 ,-67.70 
12,11,-73.25 ,-61.76 ,-62.30 ,-67.48 ,-62.19 ,-66.67 ,-61.31 ,-63.26 
12,10,-72.90 ,-74.48 ,-59.81 ,-65.91 ,-58.85 ,-65.82 ,-57.08 ,-61.91 
