x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4
3.0,3.0,-60.59840966,-58.68685299,-52.16388948,-55.69704329,-50.80399082,-46.9510373,-51.30567108,-55.68460159,-47.74397158,-49.24156108,-49.96912395,-54.80269526
3.0,3.5,-57.2007872,-51.51016051,-50.61604255,-51.93364136,-52.62878302,-48.30161355,-51.45363235,-55.56116949,-57.17608199,-48.94310123,-53.54433484,-56.48051408
3.0,4.0,-51.43920035,-55.20221906,-55.10614255,-53.43763665,-52.09388954,-48.33999919,-51.16917702,-53.61367791,-57.46058552,-48.13385235,-53.20648842,-54.04285777
3.0,4.5,-52.59134984,-47.27857838,-65.43390394,-60.19375628,-49.66362219,-49.35546969,-53.61651973,-52.26891166,-51.37040969,-46.79184162,-55.50545582,-55.67287022
3.5,0.5,-57.37671231,-56.22214475,-52.03102446,-53.88444027,-55.47092786,-52.73961782,-48.6484,-47.60529956,-51.46126384,-56.05279123,-52.60283338,-47.1493559
3.5,1.0,-57.79173159,-58.98434331,-59.33954242,-49.44374829,-51.66803035,-54.7138944,-51.3511079,-48.96026752,-54.35103557,-56.06942577,-59.12136916,-49.63639778
3.5,1.5,-58.47765744,-49.31196328,-56.01086091,-45.22224712,-50.30925552,-51.4290206,-54.03908845,-51.46102976,-50.35988484,-48.82768649,-50.56095179,-54.51503496
3.5,2.0,-55.38063669,-48.04642583,-58.73461655,-61.45512551,-53.88063833,-50.01507735,-48.53721701,-50.29185923,-59.91303925,-55.50347855,-49.48138533,-50.53505652
3.5,2.5,-54.98812928,-46.41154904,-56.25962584,-55.47413199,-51.31165097,-43.01188964,-49.52392322,-53.39613168,-54.18720195,-43.86816749,-53.73362424,-58.55031994
3.5,3.0,-58.1018556,-55.04577341,-53.01936814,-58.56994325,-56.02080543,-47.89604407,-53.6614025,-57.00896192,-51.12901364,-48.07074895,-54.35552289,-66.4058646
3.5,3.5,-61.59007679,-44.01792455,-56.80016658,-54.74828041,-53.71278181,-44.3969899,-52.97657367,-55.32330179,-54.10434031,-46.69611277,-51.74573832,-56.39251023
3.5,4.0,-49.84477972,-48.22921074,-52.84971921,-58.82292731,-54.69035775,-43.36022373,-55.76569197,-56.1493513,-56.03124068,-42.26529381,-52.80999803,-55.29410558
3.5,4.5,-65.64697498,-46.78387883,-67.58216641,-60.15817948,-55.44611903,-48.21134897,-52.92859189,-56.08357549,-52.60123454,-44.57215171,-52.30064806,-57.35845295
4.0,0.5,-53.97767414,-59.44092245,-62.50971198,-53.09238922,-57.19041762,-54.04785943,-53.50196292,-45.80860845,-59.60120463,-51.40481811,-48.4328664,-45.3751169
4.0,1.0,-55.17880181,-50.61959082,-62.13740178,-44.57113985,-53.03177625,-47.81103964,-53.7453194,-52.92878468,-61.12983782,-50.53506286,-56.27684082,-49.43588952
4.0,1.5,-63.1624683,-54.66220653,-56.52294359,-49.53959049,-57.9478486,-48.52901043,-48.48518964,-47.14017828,-63.28878279,-51.92568371,-50.46999351,-47.82951188
4.0,2.0,-53.97528174,-49.50807672,-57.70111373,-67.22357137,-52.77956094,-45.74189591,-51.13722868,-47.77604384,-57.42449578,-45.94146849,-56.18392993,-47.13789768
4.0,2.5,-56.03444713,-58.43596466,-56.40173345,-56.26161879,-53.92389373,-46.17365129,-51.79925668,-54.37076158,-48.67208453,-53.7070181,-50.58185367,-54.64636576
4.0,3.0,-57.83171959,-44.69788343,-56.89714647,-56.73882435,-53.47383985,-45.94918355,-56.77668295,-53.33525282,-52.50532275,-47.20241367,-56.95348516,-51.05871271
4.0,3.5,-60.29595143,-52.92329313,-55.24312137,-51.75234917,-53.44367078,-44.94245255,-53.23803399,-50.72453109,-56.72550549,-42.85199354,-50.94931558,-49.17995483
4.0,4.0,-59.81331095,-48.11662179,-54.03706464,-50.94555756,-51.22486022,-46.56166055,-53.48015193,-51.21383265,-52.71531352,-46.00787624,-57.29466692,-50.63360112
4.0,4.5,-56.45837314,-44.85631291,-58.55303273,-53.97708759,-53.21571235,-44.80616599,-53.32599432,-53.85501286,-50.88286625,-43.14766081,-57.93750161,-51.8906609
4.5,1.0,-57.145069,-48.38011374,-53.75680476,-55.80009923,-60.00179682,-47.29684248,-51.98516274,-48.37709521,-57.64311421,-46.92670294,-57.88971233,-42.52821712
4.5,1.5,-51.75980821,-51.763041,-53.34845123,-46.43327247,-53.64095671,-48.44801442,-54.98980152,-47.65206785,-52.03157443,-48.9630377,-52.83057365,-46.45470755
4.5,2.0,-61.29041607,-46.82238468,-53.58043863,-56.02374083,-63.93468857,-45.62754321,-53.86020782,-47.57629638,-60.15728263,-48.17082615,-57.41567725,-47.76253423
4.5,3.0,-55.821963,-44.43090505,-62.09258067,-52.58282901,-51.06592596,-47.82407829,-54.43145366,-46.36624424,-50.84809819,-46.76545716,-54.76455369,-49.65896592
4.5,3.5,-56.37334679,-49.4408151,-55.06960871,-52.01839579,-54.12962943,-43.82990062,-51.32216944,-51.75062451,-54.13734737,-44.16678406,-54.13412543,-52.38323292
4.5,4.0,-63.78355759,-42.76564619,-58.90344029,-53.77626023,-52.1547086,-44.84984475,-53.13904061,-48.97020573,-55.20087352,-41.38023883,-52.18702231,-54.50043166
