x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
5,15,-65.16797346,-55.61318121,-68.35902425,-61.74524509,-66.24228838,-60.5613096,-58.58305244,-69.02004683,-70.40375302,-53.95489172,-63.59099903,-62.22312675,-70.9783987,-60.16749103,-61.14409684,-73.53865958
6,1,-66.32341044,-71.16751665,-69.48819679,-68.23327177,-65.93577625,-62.32459802,-54.30066807,-62.65758763,-71.80428599,-64.83469222,-70.89767794,-70.01082781,-63.64438826,-62.65527153,-57.04630609,-64.08062592
6,2,-68.31185762,-69.88396537,-73.32881197,-63.14074754,-70.74484255,-57.02933782,-49.24688931,-66.15879184,-68.8308489,-64.36689292,-71.92703776,-71.25431514,-65.2708566,-58.17358192,-51.46150051,-65.57252776
6,3,-66.68508321,-67.21947812,-70.4998518,-65.22117927,-70.65834473,-57.80403279,-50.68873898,-62.47306641,-75.10834499,-62.30664782,-71.35094584,-65.15169558,-71.51905936,-59.70543761,-50.38109769,-64.32050016
6,4,-71.20852761,-66.46638212,-71.35677197,-66.51272954,-69.91328311,-56.97214494,-52.98330061,-64.45499243,-70.46948685,-64.08448633,-68.78172234,-76.39773172,-65.5422456,-58.85822469,-57.83871603,-62.88586278
6,5,-68.38642225,-61.95285925,-65.78515644,-64.09077366,-66.49522,-55.84857264,-56.42388858,-62.49332112,-70.3803075,-62.14236187,-67.28680414,-65.17560167,-64.33617537,-57.00092249,-55.96458237,-64.57540242
6,6,-67.03634064,-64.21809566,-66.10003119,-65.82899109,-70.88469035,-60.01483722,-60.91596699,-65.2289149,-72.36170569,-61.00254531,-62.03152091,-63.52653795,-63.56917061,-60.18011413,-60.13561203,-64.27183579
6,7,-64.32190299,-64.98503967,-66.32260786,-63.17563032,-65.58663846,-66.24902639,-65.02699373,-65.69294042,-69.74888101,-61.33081869,-62.94516337,-69.53756063,-60.90195987,-60.01032776,-59.345808,-71.96265404
6,8,-67.19662662,-57.1376549,-66.8592009,-58.54958777,-62.45743649,-59.80831415,-58.86999702,-66.9810014,-70.17682892,-60.03715702,-64.28547724,-67.38768117,-60.94784409,-61.30675974,-57.88035629,-71.26669217
6,9,-72.50006643,-63.46101521,-68.50917642,-62.38850972,-67.97785918,-59.67580908,-60.75337925,-66.4900566,-71.07844064,-61.7769233,-60.28845178,-62.66027773,-66.07300515,-59.25880255,-60.14315165,-70.34468979
6,10,-62.34101087,-88.53770346,-68.25923448,-65.61268562,-68.12444925,-63.92105869,-57.40417163,-64.07787002,-69.15949724,-62.65996931,-59.04724985,-61.63273984,-65.77691822,-61.39329699,-58.42168143,-64.70421942
6,11,-63.94289052,-56.76844919,-73.46500957,-60.9934442,-70.12940145,-65.12784345,-57.56764362,-62.79001668,-65.65692424,-57.93297779,-64.43265195,-64.31302942,-74.40994071,-60.30289196,-62.66127094,-66.1292914
6,12,-67.01391042,-55.75790322,-75.12962966,-59.99814566,-66.49102298,-60.98954293,-60.09870199,-63.74224432,-66.45589015,-56.12550892,-65.56451341,-63.1930504,-67.55793589,-58.28655249,-62.18493338,-65.72812975
6,13,-64.86201679,-48.23790286,-71.92454993,-62.7488808,-97.66032,-59.73562994,-61.04201105,-64.85102383,-68.26436972,-50.426744,-65.20147432,-64.01239996,-71.29754833,-59.2864883,-63.21948252,-66.70457744
6,14,-69.76950041,-54.63987608,-70.39064691,-61.28980484,-79.63241493,-58.35009175,-59.27567096,-67.64714357,-71.09659216,-51.64779896,-62.20417419,-62.14324254,-64.49107644,-60.47550738,-61.97481835,-67.41699514
6,15,-70.09327795,-50.85567104,-70.22203725,-65.30117726,-63.82419653,-61.01135768,-58.90354074,-70.27963245,-70.35271507,-48.41119552,-67.35845462,-70.27401875,-66.25202488,-61.77926737,-62.23585308,-68.50895199
7,2,-66.95882476,-67.05448698,-68.54000829,-72.39267435,-67.91925847,-57.38173611,-46.42405219,-66.96677111,-68.76478559,-63.14610883,-74.03128657,-76.63133282,-65.12171376,-59.76245044,-49.29170088,-69.68309065
7,3,-69.81300482,-65.20143302,-66.13029184,-67.12057543,-65.67268507,-55.99968245,-48.1267769,-97.47795283,-69.4704791,-66.1677317,-71.80240925,-68.21951605,-62.70711831,-58.93237998,-50.18290914,-69.92593416
7,5,-71.79430894,-61.57623207,-66.37461308,-68.70042236,-63.620737,-60.29470467,-54.19921715,-64.89637184,-76.91441672,-60.89454526,-65.78875554,-67.16723805,-62.95916889,-58.92225596,-55.10771448,-64.74436404
7,6,-68.74313634,-68.90754285,-66.18348652,-66.45143442,-67.54549871,-60.77884656,-58.03337047,-62.45294447,-72.91415312,-62.00468929,-60.18078605,-73.1311975,-65.2450734,-60.43334052,-55.87740052,-63.20760012
7,8,-65.0168172,-60.19342129,-75.53459194,-63.55907494,-60.3909949,-58.54073484,-58.24607747,-65.22447551,-69.68755844,-58.97472878,-63.64759146,-64.5284415,-60.91050424,-59.65296702,-58.0058888,-65.44811425
7,9,-68.25796323,-56.21140007,-70.60330701,-65.6773557,-62.05226176,-60.44691797,-59.58827797,-66.15846382,-70.71647035,-64.1837687,-62.92093528,-64.97904777,-68.66620843,-60.08849057,-62.86400676,-68.92030148
7,11,-67.9142622,-54.85806739,-68.50874146,-62.96240896,-67.30264588,-62.2179488,-58.58586586,-63.25999684,-75.49712262,-60.38406845,-63.68658778,-66.00344977,-66.15375951,-60.77385676,-60.48990609,-66.9179136
7,12,-66.37959885,-54.53628954,-67.9904689,-63.25001726,-68.26792961,-60.23971378,-62.58887407,-62.6165689,-65.82620781,-54.97865358,-64.08153543,-66.91759104,-64.22981087,-57.70091387,-64.81207076,-66.16870165
7,14,-70.67212359,-49.33026681,-70.07547655,-65.53734189,-66.30831902,-58.77702685,-59.26116496,-65.78417851,-67.6579765,-49.5430917,-65.28429739,-68.48239674,-68.14360653,-58.36947461,-60.03343498,-66.97584598
7,15,-65.60158513,-46.33961375,-65.76688537,-94.78215919,-61.25419493,-60.57326142,-59.14338211,-66.49786732,-73.04375666,-45.20408001,-63.41902077,-72.04012329,-63.57875169,-60.26557737,-61.60788513,-69.42610237
8,1,-68.24779518,-66.29132229,-73.28443633,-68.80530563,-75.93909138,-59.96812355,-40.06006086,-63.05616018,-76.12862226,-62.76432208,-73.45435004,-70.56482399,-62.24214074,-60.14100011,-39.63019175,-62.59214534
8,2,-71.11061943,-67.77890724,-97.93557647,-69.61220384,-97.45387765,-58.7860449,-46.96244019,-60.34196399,-75.87647114,-63.85984631,-72.35561925,-72.16015589,-61.9642361,-60.62767411,-46.67021588,-62.27973185
8,3,-67.48401346,-68.52537505,-93.75540761,-65.84418967,-66.9613421,-59.68656043,-49.16279807,-61.21500136,-77.90390169,-67.64852147,-68.53969194,-70.35793132,-62.39437304,-61.02583993,-50.02514234,-61.79973796
8,4,-68.6555813,-64.08777399,-68.00366832,-66.62820999,-68.03914924,-60.25418614,-51.36866554,-62.98275392,-71.53013632,-65.28954316,-64.25336693,-71.03854139,-61.94991969,-63.63058417,-51.72226994,-63.48234035
8,5,-70.38179526,-61.97284435,-66.06225727,-66.07647177,-67.87096172,-58.5696304,-53.45726323,-65.53330642,-73.98320623,-62.70884636,-64.8613608,-65.68103929,-64.65884366,-60.11238508,-53.10728093,-65.3282019
8,6,-71.5027248,-67.16459784,-71.53175909,-65.37485552,-67.27702085,-56.82577043,-56.60291227,-65.02884973,-72.13927416,-62.93167795,-64.4214171,-66.79988914,-62.83284897,-61.0928925,-55.18957167,-65.10585452
8,7,-71.5891555,-62.39267955,-72.67134776,-65.71587152,-68.78073495,-56.8678257,-57.68206111,-63.24541879,-71.30816778,-61.54100226,-65.46621825,-66.27653578,-61.96286506,-62.17192195,-57.12578811,-64.35492726
8,8,-65.54217928,-60.5284875,-68.85516488,-66.38476315,-65.98260682,-63.45035559,-56.40598384,-62.67215984,-72.89709887,-60.50524786,-64.46926293,-70.54737289,-66.32224685,-61.02010355,-54.8262032,-62.81481688
8,9,-66.75658924,-56.50001041,-65.62967428,-70.82705732,-69.39471899,-69.39266603,-58.19151008,-65.06684596,-72.54688576,-62.03445817,-61.6882684,-65.88529347,-74.1929861,-62.60970641,-58.31519613,-69.21381489
8,10,-73.7815764,-57.30716483,-65.20079111,-65.70204607,-66.86498544,-62.86931615,-89.61980871,-65.33910121,-68.64358006,-60.55853503,-60.96841759,-63.50042015,-72.03952361,-61.09607491,-57.98484104,-67.94222997
8,11,-71.08590543,-56.2887156,-69.74153346,-66.83283528,-64.13630176,-61.31094228,-81.7515243,-65.66991924,-67.98705368,-66.07846704,-61.82186812,-65.13957458,-73.49494558,-60.55181894,-59.97106503,-66.41584125
8,12,-76.68373971,-53.49664494,-74.19362696,-66.00277366,-62.6662425,-59.99837128,-60.81794396,-64.88469404,-73.16166127,-54.38298195,-62.87407657,-68.12384973,-68.66088678,-59.83202302,-63.68708664,-64.1899105
8,13,-65.57155407,-49.22494327,-70.39316213,-67.39109378,-70.13884247,-60.28265836,-64.21944834,-64.02191589,-72.08020343,-49.711828,-63.98944274,-69.16034923,-69.89376019,-59.95346402,-62.44581153,-64.7518443
8,14,-73.48532304,-46.38779851,-67.20499575,-65.24923124,-65.16959804,-59.75030499,-60.3148526,-62.88680805,-64.13747055,-48.39813628,-62.38877662,-67.37236777,-72.97729814,-59.95745427,-60.05352094,-64.64463188
8,15,-94.5799525,-43.0276346,-67.74309608,-64.82792064,-62.01337502,-62.58226397,-60.18541652,-65.91654713,-69.90189881,-46.31549863,-65.71418288,-63.77351932,-61.79943641,-62.50231333,-59.92103423,-66.44211905
9,1,-69.50422036,-66.75932579,-70.01014809,-71.94695749,-60.92317781,-61.82810091,-42.13772663,-66.28425206,-76.37905689,-63.92267917,-73.28316056,-73.61633072,-59.12402356,-60.40054211,-40.89066535,-64.44965818
9,2,-70.7474495,-66.63516835,-67.91740872,-66.45632599,-64.45733097,-58.6894328,-45.37805802,-64.76633857,-76.52417752,-69.9991393,-71.64950491,-71.57460736,-62.01598722,-59.88131483,-46.93251467,-64.41455742
9,3,-67.4188833,-67.19256579,-66.61706741,-65.54490939,-63.75026933,-57.10355484,-47.27182302,-68.21630948,-83.30946246,-68.34383913,-69.64148394,-67.53341809,-59.87328164,-60.55482049,-47.91529502,-69.65735805
9,4,-69.63558206,-76.84273686,-65.93332386,-65.6907217,-61.29149847,-56.78445688,-49.70090328,-65.16730196,-69.15838225,-68.97966967,-64.20961545,-71.80337957,-63.52935292,-59.8052768,-49.70188637,-65.36896878
9,5,-71.00049947,-96.24392232,-67.01246807,-66.45077391,-63.78215616,-56.47085867,-53.29495839,-62.19095479,-70.65674311,-64.16137896,-63.49361765,-68.84132552,-64.95991941,-61.44782268,-52.76491676,-61.16415899
9,6,-70.23303217,-65.83693986,-70.34598418,-65.52833436,-63.8656635,-58.16452108,-55.59328523,-64.00875866,-75.01109855,-68.87781316,-64.34619592,-70.09783752,-65.83257454,-62.36604034,-54.24141053,-66.0585469
9,7,-75.17590418,-60.76373318,-66.41765266,-69.20228762,-67.96201636,-59.9568575,-55.83938287,-67.38923276,-71.37433579,-63.53613099,-66.60944695,-67.20317337,-67.06950219,-64.99171282,-57.07508933,-67.67393291
9,8,-74.881433,-58.85917752,-62.00772326,-72.5356263,-68.40276814,-64.8495653,-55.95783221,-63.21329008,-72.55666178,-60.73045226,-69.63974615,-66.42437314,-71.03480002,-63.34278279,-56.36373124,-63.19297724
9,9,-69.87229643,-62.41269897,-60.76455804,-72.47819105,-64.00323001,-64.18126147,-58.80954174,-61.57808756,-72.12703813,-63.07263027,-68.80066816,-66.98113539,-72.72661195,-62.6979377,-61.26855292,-62.07228077
