x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
4,4,-70.74915194,-67.02674923,-68.55366937,-62.35931092,-60.3176142,-54.53741335,-60.20389839,-73.31080803
4,3,-70.22079246,-63.02814177,-68.4709267,-60.42188567,-60.03799093,-54.70746705,-58.23180293,-69.51664625
4,2,-71.64999783,-64.54885471,-68.89731628,-71.39916678,-60.68154658,-56.87659923,-59.47442559,-67.89455726
4,1,-71.0557193,-65.99950296,-69.55132674,-65.04829505,-62.34131258,-56.96368015,-61.58323925,-65.57465405
5,1,-71.0896217,-64.99545868,-71.47138703,-65.77208348,-62.18240922,-61.97295105,-60.23596134,-61.59229449
5,2,-69.77015842,-64.01084213,-71.01759957,-64.63744394,-63.67585979,-58.70576227,-52.79458075,-61.65327844
5,3,-72.38366032,-66.09465313,-71.64484009,-64.61735328,-62.57856297,-55.84931227,-53.31312126,-63.10144151
5,4,-71.89855202,-66.00252803,-71.12854492,-62.76446435,-64.74401023,-56.80630479,-56.723309,-64.88231094
5,5,-70.15425553,-66.00179086,-69.19802693,-69.67648039,-63.28726192,-58.18616023,-57.94270013,-67.60014996
5,6,-65.59389884,-64.26361312,-67.26318009,-62.02456605,-64.24301167,-58.88255246,-57.96998371,-72.24475255
5,7,-64.8379121,-64.04215635,-63.60965648,-65.98548449,-65.3780902,-58.51527512,-58.94251043,-73.48240393
5,8,-71.75984324,-62.65640616,-61.80462684,-63.24506904,-67.64057546,-57.69320207,-57.4114546,-71.35766071
5,9,-64.83491502,-60.40148374,-62.34142916,-66.46667726,-69.15902191,-57.8884335,-57.93980506,-68.31736629
5,10,-63.22073091,-59.0873043,-60.50450814,-59.95115754,-68.7617662,-58.93133512,-57.03179808,-67.53579159
5,11,-70.85494534,-59.00355468,-60.45869698,-56.36481449,-68.31128733,-61.06769141,-59.38428091,-68.5178299
5,12,-64.66900667,-56.85928485,-60.80828827,-63.59216329,-67.54069744,-59.15736422,-62.71777826,-68.42722918
5,13,-68.73504929,-58.26858594,-61.3196485,-62.55789267,-69.49944065,-57.89101091,-62.60586361,-71.03216307
5,14,-66.47749769,-55.09547978,-62.79320641,-66.22607778,-68.71497297,-58.41727504,-60.00235343,-73.11712256
5,15,-66.72798736,-56.38611303,-64.28173826,-63.80542432,-70.33456431,-60.16065496,-61.59824233,-75.98284243
6,15,-67.1280852,-49.74389416,-65.06443796,-66.38548892,-67.94701043,-60.50768307,-61.06681672,-72.4266581
6,14,-65.46349851,-54.90444108,-62.89232011,-63.47643265,-65.75190665,-58.63484933,-61.16539454,-71.45901567
6,13,-68.59424692,-55.17398978,-63.13633802,-65.410703,-68.00997724,-58.69178456,-62.49555408,-67.48016103
6,12,-69.37945919,-56.61109757,-63.49352976,-62.47364396,-68.93466731,-58.56513985,-62.07651267,-68.27810701
6,11,-68.15318148,-57.23699123,-65.18126759,-61.70594845,-70.89865571,-60.37274362,-58.82718942,-67.16848734
6,10,-65.23740109,-60.55608359,-63.12640709,-64.0754493,-71.04918978,-61.11103553,-56.48951831,-68.54945915
6,9,-71.51283009,-63.35417099,-62.87521897,-68.47522133,-64.54996436,-58.97073785,-57.65077397,-71.24063386
6,8,-67.64936211,-60.45313006,-61.76905312,-65.40669797,-63.35794486,-57.78330834,-55.12171938,-73.3385547
6,7,-65.41948571,-64.19570869,-64.43057523,-68.45820585,-62.22133661,-60.72746665,-58.99555692,-68.67365302
6,6,-67.68159016,-63.41367267,-63.97062025,-62.04452012,-63.78192198,-59.99341667,-58.96404635,-65.04954271
6,5,-70.85201585,-66.22633396,-68.9433007,-62.8325976,-67.8348599,-57.52456885,-56.69178821,-62.89942638
6,4,-72.57959355,-68.35232582,-70.67241567,-71.19116386,-68.37328086,-59.06179433,-54.58521133,-62.85257814
6,3,-71.85008999,-66.71262439,-72.99585312,-67.32579112,-68.71848808,-58.43312016,-49.61394946,-63.08342605
6,2,-71.87546321,-64.83110442,-73.05619461,-67.43396157,-67.31405244,-57.34914533,-51.0610555,-64.37242308
6,1,-70.35309383,-66.75347043,-70.72171329,-70.43633194,-64.34749407,-57.5216263,-53.94085109,-63.00715696
7,1,-71.5049067,-66.97780946,-74.10902661,-73.58851788,-66.66234684,-59.84840993,-44.0774931,-68.17395636
7,2,-71.98582922,-65.74692913,-73.32518725,-76.05045088,-67.006994,-58.84915319,-47.49048161,-69.20836745
7,3,-71.90773122,-67.64658494,-70.49633241,-65.35694648,-65.68649461,-57.66754088,-48.14506355,-68.40863394
7,4,-73.37183644,-66.23935747,-66.87464228,-63.92450681,-65.65637693,-59.09226259,-50.6643229,-66.39372302
7,5,-74.96378442,-64.61623797,-66.50535291,-67.67703853,-62.09767918,-59.7956536,-54.742056,-63.65279163
7,6,-71.48396507,-66.53155713,-66.58885081,-69.52121,-60.31798128,-61.76018759,-57.67386864,-63.26568216
7,7,-65.83824896,-63.73586508,-65.40205521,-68.10618276,-60.3024155,-59.25714822,-57.31311957,-64.65621518
7,8,-68.20810924,-63.91125695,-64.71354409,-65.81556631,-60.92727745,-58.87778828,-55.73969009,-68.18743206
7,9,-70.60910035,-61.61713374,-63.85918361,-65.3912126,-64.17208337,-60.80055914,-59.22063286,-71.10910882
7,10,-68.04774485,-59.6326527,-63.15748433,-65.44817476,-67.60736962,-60.94706744,-56.49865112,-72.45943623
7,11,-69.64981491,-56.303728,-66.07249061,-64.54452335,-71.73939653,-58.62854222,-58.26201201,-67.30255104
7,12,-66.90130635,-54.53794858,-66.66837152,-66.68575167,-71.18345014,-58.31056094,-62.85705964,-66.09939201
7,13,-65.89280539,-55.12272461,-66.43424106,-63.46262158,-68.20954802,-57.91995208,-62.01193285,-67.09559785
7,14,-71.37618815,-46.62426948,-63.67091897,-67.06453635,-66.46277868,-59.29294043,-60.64279406,-68.27853109
7,15,-67.94231996,-45.92373279,-63.91628129,-68.121272,-64.00299658,-62.18907464,-61.22650681,-69.8239065
8,15,-65.99277079,-45.45387987,-64.3279937,-65.1726433,-64.35433513,-63.28155315,-59.72567925,-68.03683894
8,14,-64.89209559,-49.09125159,-63.68868615,-66.27823571,-67.66809572,-60.79748317,-59.96586851,-66.11027544
8,13,-67.82604451,-52.52395467,-64.31969008,-66.80643769,-69.59738792,-59.32269649,-63.10020721,-65.39026907
8,12,-73.93584506,-53.35841117,-65.28805061,-66.74751342,-67.02432353,-58.67456329,-63.34611409,-65.67647423
8,11,-69.41852788,-63.07127232,-63.81933638,-65.83707552,-67.37406471,-60.10095217,-59.18083475,-68.51248705
8,10,-68.2824283,-64.04250353,-64.77410315,-65.12449587,-70.28623793,-61.5538571,-58.769743,-70.49534788
8,9,-68.98550647,-62.92251241,-63.25539671,-66.76667486,-66.3716106,-64.27241563,-58.49935698,-66.91608433
8,8,-69.63459476,-61.92605684,-65.20208768,-65.6543361,-66.55909315,-61.73697616,-54.89857201,-64.54690872
8,7,-67.75798186,-64.71438848,-64.6451217,-66.685075,-65.79914628,-59.98318847,-55.85855469,-64.55697852
8,6,-71.49790415,-65.32960388,-64.67162105,-66.66265369,-67.37847989,-59.08319468,-55.44399143,-66.30543059
8,5,-74.84068718,-64.80342603,-65.55764481,-64.35373331,-67.67509581,-61.22937646,-52.17660167,-67.30762026
8,4,-72.81339557,-68.67594124,-66.4783069,-66.94093044,-64.92844691,-61.53737192,-51.88012782,-64.68364365
