x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
3,1,-66.00650045,-65.43630122,-69.42890873,-66.15162231,-65.71563756,-49.40168842,-57.38623795,-65.6852437,-69.26240774,-66.82466689,-70.87920471,-69.77874733,-65.06442174,-52.1279301,-58.33112326,-67.78217443,-68.82748487,-63.30690918,-68.03371547,-68.66422995,-62.42822748,-52.38014217,-58.59284704,-68.73832706
3,2,-67.21483924,-66.32272578,-69.41352373,-61.60074416,-63.74972172,-51.41123231,-59.63808015,-67.32933135,-71.20904241,-64.46499006,-68.00738164,-62.99839927,-62.75051189,-51.59019592,-63.40901665,-69.32868441,-74.17716273,-64.13952399,-65.45159299,-63.20610822,-62.98343012,-51.18220108,-60.19659592,-73.77496254
3,3,-69.94303091,-65.7657267,-69.41196122,-70.11216043,-64.55839773,-51.58041979,-61.40456093,-68.5116647,-72.10984265,-63.40906705,-67.81264875,-65.80770227,-60.92602307,-52.83857388,-63.86437328,-69.42058246,-69.74881739,-64.9680416,-64.88190301,-66.62537003,-61.200827,-52.51937326,-63.31135937,-74.45147946
3,4,-66.14330349,-67.61581192,-71.66652421,-66.16743859,-65.7826665,-52.0206704,-66.32028047,-67.75572784,-69.50580648,-65.57493352,-70.13074541,-61.25613764,-61.35082506,-54.01887449,-62.10079617,-70.99156737,-70.16450508,-63.98345043,-67.50474679,-62.06718095,-61.50423075,-55.08134559,-61.1098544,-73.23228463
3,5,-62.2732306,-66.39500851,-73.54939577,-63.38547996,-65.44963992,-56.89861592,-65.70540314,-68.42277049,-65.483708,-68.44188766,-68.06061922,-63.24673822,-61.16295913,-55.91094288,-60.54583468,-69.59237765,-68.82839989,-64.73931738,-69.75942515,-60.64254154,-63.19380897,-56.71729355,-62.43246761,-70.39893153
3,6,-61.66077222,-60.8276218,-69.41942613,-57.5315015,-64.38863709,-58.43306332,-61.42300266,-67.38454902,-63.48670839,-65.60936023,-67.91237973,-59.77410319,-61.05175167,-55.35871342,-59.96022133,-69.63088813,-66.21901199,-63.95773099,-68.67817492,-65.90678211,-60.61484321,-55.79644475,-62.02505605,-70.75706056
3,7,-69.45664187,-59.33424546,-72.21418991,-59.33981748,-62.91549759,-56.79373381,-61.31693585,-66.51733886,-68.01001014,-61.3854393,-67.28469651,-61.20765493,-62.43866907,-55.43924569,-60.13735961,-67.64269385,-74.04460133,-61.22913807,-66.02105676,-63.24607589,-62.33628176,-56.39163352,-61.81666196,-67.29640535
3,8,-63.20702627,-59.83045594,-71.51164681,-52.96911313,-62.99049181,-57.57829795,-63.81528568,-64.77027946,-65.79726625,-61.97878577,-67.19907088,-55.73449679,-62.83644429,-55.68088949,-61.67003083,-66.84056868,-66.51330344,-60.03737466,-66.68680417,-57.07299427,-64.29381143,-57.43693446,-64.80064172,-67.71235518
3,9,-65.31290223,-58.35130554,-67.60030103,-54.22852271,-66.44263153,-57.85789467,-58.1421782,-63.59211905,-62.43151644,-60.4704828,-62.9476574,-58.32446642,-65.04414093,-57.02211679,-58.31804373,-67.47470224,-66.12760666,-59.68079988,-64.01585903,-60.61188675,-72.25040862,-56.91587373,-59.43750677,-67.84239832
3,10,-65.63241287,-77.87746461,-66.22962818,-56.7742671,-85.14909478,-56.62588925,-60.47351792,-65.10922905,-70.24974937,-59.43972318,-64.47662618,-57.57390563,-68.89389268,-56.75240039,-59.50135042,-69.46340856,-66.58899283,-57.86628325,-66.90055032,-57.41768972,-67.40945122,-56.17790211,-61.16621699,-67.85885167
3,11,-65.13351084,-95.82638964,-66.08118656,-56.13292301,-96.79845941,-58.41781945,-65.14820121,-66.05623357,-62.80894543,-62.03413895,-61.56959343,-54.80487622,-70.71100005,-59.43839816,-63.47145368,-73.19482341,-63.40026623,-60.45993846,-61.65692576,-56.37506347,-67.61317732,-59.70503131,-64.35144256,-73.77540538
3,12,-62.25923797,-58.43962703,-67.95971331,-58.02217265,-65.50523463,-61.19827851,-60.61544236,-67.40079334,-60.383686,-56.78091984,-58.94323157,-57.33391973,-70.92497151,-61.4569792,-61.58007453,-72.08203349,-62.62252172,-57.33146814,-59.99194647,-58.06347863,-73.48704811,-60.49074433,-61.47916288,-74.08844618
3,13,-58.60573984,-58.69228895,-67.47564829,-57.34649218,-69.11707703,-62.51740681,-58.39048122,-69.04868304,-60.35187148,-58.72435072,-59.73569378,-57.92738072,-71.09792255,-60.92234942,-60.16266276,-73.91710766,-60.89657678,-58.62580674,-60.78984832,-58.76275319,-66.74227518,-60.67020984,-61.66482001,-73.72631639
3,14,-60.0654303,-57.89907051,-66.78295133,-61.61984435,-69.41698378,-60.34396999,-58.42360165,-69.90923651,-68.40017295,-57.36899486,-59.81920687,-62.09510596,-70.09380214,-59.4589751,-59.79183297,-75.6536657,-65.45487339,-60.49126083,-63.57104192,-63.34547518,-68.59437246,-59.44158345,-61.34247812,-75.3323509
3,15,-62.33820237,-63.03091235,-65.15939932,-65.42672719,-65.02925179,-60.18079028,-58.61149012,-72.89086618,-61.73099903,-61.3742693,-61.21728083,-63.81712221,-68.82928755,-60.86632438,-61.92015809,-75.79782063,-61.93765467,-66.64287881,-65.04097233,-64.59364707,-70.73780393,-60.71623679,-60.86665751,-71.81944831
4,15,-61.92649574,-54.66117591,-64.68717266,-65.40369621,-67.23073914,-60.21583577,-59.05773755,-70.98822793,-62.98680743,-59.30834534,-61.78735961,-64.01507176,-70.24976813,-60.38173661,-61.41170506,-76.78294858,-64.06013417,-53.25868279,-63.64822978,-63.93039625,-68.51513631,-60.15308341,-62.12823096,-73.7672321
4,14,-59.85958507,-57.36186905,-65.38500869,-60.4415797,-67.04386835,-60.10414718,-58.29933212,-71.41661806,-65.40715298,-55.06282932,-59.18932894,-62.00326239,-71.25990145,-58.9956547,-59.95956155,-75.01964551,-66.77753482,-53.37222443,-60.232603,-61.38254603,-67.6043671,-59.78749736,-61.4290729,-70.65195402
4,13,-63.31720278,-54.70125078,-69.41222308,-59.64635738,-66.36132515,-60.21668916,-58.87507475,-68.28974047,-66.17437819,-57.33528789,-58.87563131,-63.223047,-71.61478567,-58.27765097,-60.23606477,-73.75313483,-68.49242213,-57.44819799,-59.02294798,-64.27689949,-73.51595293,-59.13973668,-60.78145359,-70.1563597
4,12,-62.54767044,-54.24773947,-65.87395802,-60.80813148,-66.19530384,-62.59934084,-62.34654904,-66.08913028,-61.31850862,-57.02897003,-58.44680935,-58.22479689,-68.69769463,-60.40165622,-63.028177,-71.51274412,-63.20044046,-57.45631264,-60.76444232,-60.49302432,-70.87683456,-60.09204883,-64.77319255,-69.37244489
4,11,-61.56504852,-56.72737752,-65.45448652,-58.70265259,-70.95524871,-60.76371675,-60.8517917,-65.5042962,-61.7798807,-58.31884462,-60.25222435,-58.94409683,-69.20520795,-61.07577132,-61.14674056,-69.41661097,-61.80039652,-57.79197022,-62.64521018,-58.64258406,-71.78727734,-62.26252088,-64.13952313,-67.3256099
4,10,-70.9168849,-57.39403167,-65.31914866,-57.83195941,-66.2319623,-57.23664512,-59.30761846,-64.38925136,-74.25096871,-60.78302106,-60.42109422,-63.46102929,-70.09166621,-57.51625714,-57.99181757,-68.43425731,-70.32029223,-59.5720427,-62.33925455,-61.66660472,-65.20366939,-56.64988897,-57.69976016,-67.00757158
4,9,-61.93951148,-56.5206622,-65.06080051,-53.39015331,-65.72113292,-59.75964338,-60.33836127,-65.66380452,-63.06707188,-57.98574919,-66.16424097,-56.24264723,-63.97131747,-58.605187,-59.10921904,-67.73161657,-64.29117943,-58.18571394,-61.62491194,-56.2564028,-69.20674869,-57.78018761,-63.95047188,-69.3034818
4,8,-66.2335387,-59.62571881,-66.47676151,-58.32177879,-67.13175583,-61.23586168,-63.64614043,-64.6255767,-69.667829,-61.58185445,-65.629064,-55.92094329,-65.43938726,-58.06944959,-60.61495378,-67.9488033,-71.32803981,-61.78774008,-69.49311404,-57.1367943,-62.28966913,-58.1742276,-59.06065299,-70.33699911
4,7,-63.43094702,-59.96530462,-67.30972542,-58.68184587,-63.40867201,-58.38703582,-58.94150532,-65.60054712,-65.74841464,-60.75709168,-65.1157036,-66.57509281,-64.63855794,-57.72160772,-57.51094579,-69.90608847,-67.49704827,-62.14718246,-66.62632034,-66.10232661,-66.64400974,-57.23995453,-56.88816604,-69.8236377
